2026-07-27 17:48:52 [27-wind-move] Script loaded. F5=start  F6=stop  F12=exit.
2026-07-27 17:48:54 [27-wind-move] WindMove: started
2026-07-27 17:48:54 [27-wind-move] wind-move: physics G=9 W=3 M=15 D=12 stepDelay=0..1ms
2026-07-27 17:48:55 [27-wind-move] wind-move: 541px in 422ms, err=0px
2026-07-27 17:48:55 [27-wind-move] wind-move: 462px in 328ms, err=0px
2026-07-27 17:48:57 [27-wind-move] wind-move: 966px in 953ms, err=0px
2026-07-27 17:48:57 [27-wind-move] wind-move: 387px in 265ms, err=0px
2026-07-27 17:48:59 [27-wind-move] wind-move: 1802px in 1250ms, err=0px
2026-07-27 17:49:00 [27-wind-move] wind-move: 2309px in 1531ms, err=0px
2026-07-27 17:49:02 [27-wind-move] wind-move: 1881px in 1375ms, err=0px
2026-07-27 17:49:03 [27-wind-move] wind-move: 1701px in 1250ms, err=0px
2026-07-27 17:49:05 [27-wind-move] wind-move: 1860px in 1250ms, err=28px
2026-07-27 17:49:06 [27-wind-move] wind-move: 1464px in 1093ms, err=0px
2026-07-27 17:49:07 [27-wind-move] wind-move: 687px in 406ms, err=0px
2026-07-27 17:49:08 [27-wind-move] wind-move: 598px in 407ms, err=0px
2026-07-27 17:49:08 [27-wind-move] wind-move: 629px in 406ms, err=0px
2026-07-27 17:49:09 [27-wind-move] wind-move: 1019px in 828ms, err=0px
2026-07-27 17:49:10 [27-wind-move] wind-move: 1046px in 844ms, err=0px
2026-07-27 17:49:12 [27-wind-move] wind-move: 1880px in 1640ms, err=0px
2026-07-27 17:49:13 [27-wind-move] wind-move: 619px in 531ms, err=0px
2026-07-27 17:49:15 [27-wind-move] wind-move: 1878px in 1469ms, err=0px
2026-07-27 17:49:16 [27-wind-move] wind-move: 893px in 610ms, err=0px
2026-07-27 17:49:17 [27-wind-move] wind-move: 1478px in 1156ms, err=0px
2026-07-27 17:49:18 [27-wind-move] wind-move: 415px in 422ms, err=0px
2026-07-27 17:49:19 [27-wind-move] wind-move: 1332px in 1062ms, err=0px
2026-07-27 17:49:21 [27-wind-move] wind-move: 1682px in 1438ms, err=0px
2026-07-27 17:49:21 [27-wind-move] wind-move: 761px in 562ms, err=0px
2026-07-27 17:49:22 [27-wind-move] wind-move: 1145px in 844ms, err=0px
2026-07-27 17:49:24 [27-wind-move] wind-move: 1661px in 1219ms, err=0px
2026-07-27 17:49:25 [27-wind-move] wind-move: 1183px in 953ms, err=0px
2026-07-27 17:49:26 [27-wind-move] wind-move: 625px in 406ms, err=0px
2026-07-27 17:49:28 [27-wind-move] wind-move: 1507px in 1594ms, err=0px
2026-07-27 17:49:28 [27-wind-move] F12 pressed - exiting
