2026-07-13 02:21:01 Engine: started at phase 'mine'
2026-07-13 02:21:02 MinePhase: Found new vein at [1235, 713]
2026-07-13 02:21:02 MinePhase: Initial click to walk to vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:03 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:05 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:07 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:09 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:10 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:12 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:14 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:15 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:17 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:19 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:20 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:22 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:24 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:26 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:27 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:29 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:31 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:32 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:34 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:36 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-13 02:21:37 MinePhase: Lost track of vein or depleted. Finding new vein.
2026-07-13 02:21:37 MinePhase: Found new vein at [1307, 713]
2026-07-13 02:21:37 MinePhase: Initial click to walk to vein at [1307, 713] (vein at [1307, 713])
2026-07-13 02:21:39 MinePhase: Clicked stable vein at [1265, 713] (vein at [1265, 713])
2026-07-13 02:21:41 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-13 02:21:43 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-13 02:21:44 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-13 02:21:46 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-13 02:21:48 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
