elapsedMs,x,y
0,757,516
31,768,518
46,778,520
62,791,525
78,807,531
93,828,540
109,849,549
125,874,561
140,899,574
156,928,590
171,961,608
187,991,621
203,1023,636
218,1057,651
234,1091,666
250,1126,681
265,1157,694
281,1188,706
296,1219,718
312,1243,728
328,1264,735
343,1281,744
359,1294,750
375,1304,756
390,1313,761
406,1321,765
421,1324,766
437,1326,766
453,1328,768
468,1331,768
484,1333,768
500,1336,768
515,1337,768
531,1338,767
546,1338,763
562,1338,757
578,1336,748
593,1331,738
609,1326,730
625,1321,721
640,1318,715
656,1314,710
671,1311,706
687,1311,705
703,1311,705
718,1311,705
734,1311,705
750,1311,705
765,1311,705
781,1311,705
796,1311,705
812,1311,705
828,1311,705
843,1311,706
859,1311,709
875,1311,713
890,1311,718
906,1311,725
921,1312,733
937,1314,740
953,1318,749
968,1321,754
984,1322,756
1000,1323,760
1015,1323,763
1031,1323,765
1046,1323,768
1062,1323,771
1078,1323,776
1093,1323,784
1109,1323,790
1125,1321,799
1140,1320,808
1156,1319,814
1171,1318,820
1187,1318,824
1203,1318,828
1218,1318,828
1234,1318,828
1250,1318,828
1265,1318,828
1281,1318,828
1296,1318,828
1312,1318,828
1328,1318,828
1343,1318,828
1359,1319,828
1375,1321,828
1390,1323,828
1406,1324,828
1421,1327,829
1437,1328,829
1453,1328,829
1468,1328,830
1484,1328,830
1500,1328,830
1515,1328,830
1531,1328,830
1546,1328,830
1562,1329,830
1578,1329,831
1593,1329,831
1609,1329,831
1625,1329,831
1640,1329,831
1656,1329,831
1671,1329,831
1687,1329,831
1703,1329,831
1718,1329,833
1734,1329,833
1750,1328,834
1765,1326,835
1781,1325,835
1796,1323,836
1812,1319,836
1828,1313,838
1843,1303,838
1859,1288,838
1875,1255,832
1890,1213,823
1906,1149,811
1921,1076,798
1937,1000,787
1953,924,775
1968,846,760
1984,768,742
2000,703,727
2015,644,713
2031,590,701
2046,539,686
2062,486,668
2078,441,655
2093,393,643
2109,355,636
2125,320,630
2140,289,626
2156,264,622
2171,243,621
2187,229,620
2203,220,618
2218,216,617
2234,215,616
2250,214,615
2265,213,612
2281,211,611
2296,211,610
2312,211,608
2328,211,605
2343,213,598
2359,218,587
2375,223,576
2390,231,563
2406,239,546
2421,249,525
2437,258,500
2453,263,475
2468,264,455
2484,264,440
2500,264,427
2515,264,420
2531,264,415
2546,264,413
2562,264,413
2578,264,413
2593,264,413
2609,264,418
2625,266,430
2640,268,450
2656,271,479
2671,273,511
2687,276,544
2703,277,571
2718,277,590
2734,276,604
2750,275,618
2765,275,631
2781,281,653
2796,289,673
2812,297,690
2828,304,704
2843,312,716
2859,318,729
2875,326,740
2890,329,750
2906,333,756
2921,337,763
2937,339,766
2953,341,771
2968,344,775
2984,346,779
3000,347,780
3015,348,781
3031,349,783
3046,351,784
3062,351,785
3078,351,785
3093,351,785
3109,351,785
3125,351,785
3140,351,785
3156,351,785
3171,351,783
3187,351,782
3203,350,781
3218,350,780
3234,351,776
3250,353,775
3265,353,775
3281,353,775
3296,353,775
3312,353,775
3328,353,775
3343,353,775
3359,353,775
3375,353,775
3390,353,775
3406,353,775
3421,353,775
3437,353,775
3453,353,775
3468,353,775
3484,353,775
3500,353,775
3515,353,775
3531,353,775
3546,353,775
3562,353,775
3578,353,775
3593,353,775
3609,353,775
3625,353,775
3640,353,775
3656,353,775
3671,353,775
3687,353,775
3703,353,775
3718,353,775
3734,353,775
3750,353,775
3765,354,775
3781,354,775
3796,354,775
3812,354,775
3828,354,775
3843,354,775
3859,354,775
3875,354,775
3890,354,775
3906,354,775
3921,354,775
3937,354,775
3953,354,775
3968,354,775
3984,354,775
4000,354,775
4015,354,775
4031,354,775
4046,354,775
4062,354,775
4078,354,775
4093,354,775
4109,354,775
4125,354,775
4140,354,775
4156,354,775
4171,354,775
4187,354,775
4203,354,775
4218,354,775
4234,354,775
4250,354,775
4265,354,775
4281,354,775
4296,354,775
4312,357,775
4328,361,773
4343,364,772
4359,368,771
4375,369,770
4390,371,770
4406,371,770
4421,372,770
4437,373,770
4453,374,770
4468,376,770
4484,378,770
4500,382,770
4515,384,770
4531,386,770
4546,386,770
4562,386,770
4578,386,770
4593,385,770
4609,381,771
4625,379,773
4640,378,773
4656,378,773
4671,375,773
4687,374,773
4703,374,773
4718,374,773
4734,374,773
4750,374,773
4765,377,763
4781,391,737
4796,417,695
4812,462,628
4828,514,546
4843,582,447
4859,654,357
4875,732,280
4890,809,211
4906,863,167
4921,902,138
4937,926,125
4953,933,123
4968,933,123
4984,933,123
5000,933,123
5015,933,123
5031,933,123
5046,933,123
5062,933,123
5078,933,123
5093,933,123
5109,933,123
5125,933,123
5140,933,123
5156,933,123
5171,933,123
5187,933,123
5203,933,123
5218,933,123
5234,933,123
5250,933,125
5265,931,126
5281,930,130
5296,929,139
5312,928,151
5328,925,166
5343,924,180
5359,923,193
5375,919,206
5390,911,225
5406,904,253
