2026-07-22 23:36:17 [06-point-presence] Script loaded. F5=IsAnyColorAt check  F7=BlockAtPoint check  F6=clear tooltip  Esc=exit. Targets=0xFFB232 at 1665,783 posTol=4 margin=4
2026-07-22 23:36:18 [06-point-presence] IsAnyColorAt(1665,783) = FALSE (actual=0x6D7220 targets=0xFFB232 tol=5)
2026-07-22 23:36:20 [06-point-presence] IsAnyColorAt(1665,783) = FALSE (actual=0x565935 targets=0xFFB232 tol=5)
2026-07-22 23:36:21 [06-point-presence] IsAnyColorAt(1665,783) = FALSE (actual=0x353F1F targets=0xFFB232 tol=5)
2026-07-22 23:36:21 [06-point-presence] IsAnyColorAt(1665,783) = FALSE (actual=0x1B1710 targets=0xFFB232 tol=5)
2026-07-22 23:36:22 [06-point-presence] IsAnyColorAt(1665,783) = FALSE (actual=0x1C1811 targets=0xFFB232 tol=5)
2026-07-22 23:36:23 [06-point-presence] IsAnyColorAt(1665,783) = FALSE (actual=0x191610 targets=0xFFB232 tol=5)
2026-07-22 23:36:23 [06-point-presence] IsAnyColorAt(1665,783) = FALSE (actual=0x2F2C12 targets=0xFFB232 tol=5)
2026-07-22 23:36:23 [06-point-presence] IsAnyColorAt(1665,783) = FALSE (actual=0x48431C targets=0xFFB232 tol=5)
2026-07-22 23:36:24 [06-point-presence] IsAnyColorAt(1665,783) = FALSE (actual=0x292010 targets=0xFFB232 tol=5)
2026-07-22 23:36:24 [06-point-presence] IsAnyColorAt(1665,783) = TRUE (0xFFB232) (actual=0xFFB232 targets=0xFFB232 tol=5)
2026-07-22 23:36:28 [06-point-presence] FindFilledBlock: not found (17x17 0xFFB232 tol=5, 0 ms)
2026-07-22 23:36:28 [06-point-presence] FindFilledBlock: not found (17x17 0xFFB232 tol=5, 16 ms)
2026-07-22 23:36:28 [06-point-presence] NOT ARRIVED: not found anywhere in padded box (margin=4px, 0 ms)
2026-07-22 23:36:28 [06-point-presence] FindFilledBlock: not found (17x17 0xFFB232 tol=5, 0 ms)
2026-07-22 23:36:28 [06-point-presence] FindFilledBlock: not found (17x17 0xFFB232 tol=5, 16 ms)
2026-07-22 23:36:28 [06-point-presence] NOT ARRIVED: not found anywhere in padded box (margin=4px, 0 ms)
2026-07-22 23:36:29 [06-point-presence] FindFilledBlock: not found (17x17 0xFFB232 tol=5, 16 ms)
2026-07-22 23:36:29 [06-point-presence] FindFilledBlock: not found (17x17 0xFFB232 tol=5, 0 ms)
2026-07-22 23:36:29 [06-point-presence] NOT ARRIVED: not found anywhere in padded box (margin=4px, 16 ms)
2026-07-22 23:36:29 [06-point-presence] FindFilledBlock: not found (17x17 0xFFB232 tol=5, 0 ms)
2026-07-22 23:36:29 [06-point-presence] FindFilledBlock: not found (17x17 0xFFB232 tol=5, 16 ms)
2026-07-22 23:36:29 [06-point-presence] NOT ARRIVED: not found anywhere in padded box (margin=4px, 0 ms)
2026-07-22 23:36:29 [06-point-presence] FindFilledBlock: not found (17x17 0xFFB232 tol=5, 0 ms)
2026-07-22 23:36:29 [06-point-presence] FindFilledBlock: not found (17x17 0xFFB232 tol=5, 16 ms)
2026-07-22 23:36:29 [06-point-presence] NOT ARRIVED: not found anywhere in padded box (margin=4px, 0 ms)
2026-07-22 23:36:29 [06-point-presence] FindFilledBlock: not found (17x17 0xFFB232 tol=5, 0 ms)
2026-07-22 23:36:29 [06-point-presence] FindFilledBlock: not found (17x17 0xFFB232 tol=5, 0 ms)
2026-07-22 23:36:30 [06-point-presence] NOT ARRIVED: not found anywhere in padded box (margin=4px, 0 ms)
2026-07-22 23:36:30 [06-point-presence] FindFilledBlock: not found (17x17 0xFFB232 tol=5, 0 ms)
2026-07-22 23:36:30 [06-point-presence] FindFilledBlock: not found (17x17 0xFFB232 tol=5, 0 ms)
2026-07-22 23:36:30 [06-point-presence] NOT ARRIVED: not found anywhere in padded box (margin=4px, 15 ms)
2026-07-22 23:36:30 [06-point-presence] FindFilledBlock: not found (17x17 0xFFB232 tol=5, 15 ms)
2026-07-22 23:36:30 [06-point-presence] FindFilledBlock: not found (17x17 0xFFB232 tol=5, 0 ms)
2026-07-22 23:36:30 [06-point-presence] NOT ARRIVED: not found anywhere in padded box (margin=4px, 15 ms)
2026-07-22 23:36:30 [06-point-presence] FindFilledBlock: found at 1661,783 (17x17 0xFFB232 tol=5, 16 ms)
2026-07-22 23:36:30 [06-point-presence] ARRIVED: block center at 1661,783 (0xFFB232) within 4px of 1665,783 (16 ms)
2026-07-22 23:36:33 [06-point-presence] Esc pressed - exiting
